gw_paint_fid,casual,temperature,registered,hour,feeling_temp
L_1,0,-1.42,20,22,-6.001
L_1,1,0.46,11,23,-2.0014
L_1,0,-0.48,5,0,-4.0012
L_1,0,-0.48,2,1,-4.0012
L_1,0,-1.42,1,2,-6.001
L_1,0,-1.42,2,4,-4.0012
L_1,0,-2.36,4,5,-6.001
L_1,0,-2.36,36,6,-6.001
L_1,2,-2.36,92,7,-6.001
L_1,2,-1.42,177,8,-6.001
L_1,2,-0.48,98,9,-6.001
L_1,5,-0.48,37,10,-6.9976
L_1,7,2.34,50,11,-2.0014
L_1,12,2.34,66,12,-0.9982
L_1,18,3.28,79,13,-0.9982
L_1,9,4.22,54,14,1.0016
L_1,17,5.16,48,15,1.9982
L_1,15,6.1,68,16,3.0014
L_1,10,5.16,202,17,1.9982
L_1,3,4.22,179,18,1.0016
L_1,2,3.28,110,19,1.0016
L_1,1,3.28,53,20,1.0016
L_1,0,2.34,48,21,1.9982
L_1,1,2.34,34,22,1.0016
L_1,2,1.4,9,23,-0.9982
L_1,0,1.4,6,0,1.0016
L_1,0,-0.48,6,1,-2.998
L_1,0,-0.48,2,2,-2.998
L_1,0,3.28,2,4,-0.9982
L_1,0,2.34,3,5,-0.9982
L_1,0,1.4,33,6,-2.998
L_1,1,0.46,87,7,-4.0012
L_1,3,1.4,192,8,-4.0012
L_1,6,2.34,109,9,-2.998
L_1,4,2.34,53,10,-2.998
L_1,12,4.22,34,11,-0.9982
L_1,5,4.22,74,12,-0.9982
L_1,6,5.16,65,13,1.0016
L_1,10,6.1,52,14,3.0014
L_1,7,6.1,55,15,3.0014
L_1,4,6.1,85,16,5.0012
L_1,4,3.28,186,17,-0.9982
L_1,3,3.28,166,18,-0.0016
L_1,5,3.28,127,19,1.0016
L_1,7,2.34,82,20,-0.9982
L_1,3,1.4,40,21,-2.998
L_1,1,0.46,41,22,-2.998
L_1,1,1.4,18,23,1.0016
L_1,0,0.46,11,0,-0.0016
L_1,0,-0.48,4,1,-0.9982
L_1,0,-0.48,2,2,-0.9982
L_1,0,-0.48,1,4,-2.998
L_1,0,-1.42,4,5,-4.0012
L_1,0,-1.42,36,6,-4.9978
L_1,0,-0.48,95,7,-0.9982
L_1,3,-0.48,216,8,-0.9982
L_1,6,0.46,116,9,-0.0016
L_1,3,1.4,42,10,1.0016
L_1,2,2.34,57,11,1.0016
L_1,6,4.22,78,12,3.0014
L_1,12,4.22,55,13,1.9982
L_1,11,5.16,59,14,1.9982
L_1,8,5.16,54,15,1.9982
L_1,12,4.22,74,16,1.0016
L_1,9,2.34,163,17,-0.9982
L_1,5,2.34,158,18,-0.9982
L_1,3,2.34,109,19,1.0016
L_1,3,1.4,66,20,-2.0014
L_1,0,2.34,48,21,-2.0014
L_1,1,2.34,51,22,-2.0014
L_1,4,1.4,19,23,-2.998
L_1,4,1.4,13,0,-2.998
L_1,2,1.4,5,1,-2.998
L_1,0,1.4,1,2,-2.998
L_1,0,1.4,1,4,-2.0014
L_1,0,2.34,5,5,1.9982
L_1,8,1.4,26,6,1.0016
L_1,8,1.4,76,7,-2.0014
L_1,20,1.4,190,8,-2.998
L_1,9,1.4,125,9,-4.0012
L_1,16,2.34,47,10,-2.998
L_1,19,1.4,48,11,-2.998
L_1,9,1.4,50,12,-2.998
L_1,9,1.4,64,13,-4.0012
L_1,7,1.4,43,14,-2.998
L_1,9,1.4,63,15,-2.0014
L_1,5,1.4,82,16,-2.0014
L_1,9,1.4,178,17,1.0016
L_1,7,1.4,116,18,-0.9982
L_1,3,-0.48,92,19,-2.998
L_1,1,0.46,50,20,-2.0014
L_1,0,0.46,39,21,-2.998
L_1,2,0.46,34,22,-2.998
L_1,1,0.46,14,23,-2.998
L_1,1,0.46,24,0,-2.998
L_1,1,0.46,15,1,-2.0014
L_1,3,0.46,13,2,-0.0016
L_1,0,0.46,7,3,-2.998
L_1,0,0.46,1,4,-2.998
L_1,0,-0.48,5,5,-4.9978
L_1,0,-0.48,2,6,-4.9978
L_1,1,-0.48,8,7,-4.0012
L_1,0,-0.48,15,8,-4.0012
L_1,0,-0.48,20,9,-4.0012
L_1,5,0.46,56,10,-2.998
L_1,2,1.4,60,11,-4.0012
L_1,8,1.4,90,12,-4.0012
L_1,7,1.4,95,13,-4.0012
L_1,12,1.4,83,14,-4.9978
L_1,5,1.4,69,15,-4.9978
L_1,8,0.46,68,16,-6.9976
L_1,5,-0.48,64,17,-8.0008
L_1,3,-1.42,52,18,-8.0008
L_1,4,-1.42,26,19,-8.0008
L_1,0,-2.36,28,20,-8.0008
L_1,2,-2.36,35,21,-8.9974
L_1,1,-2.36,33,22,-8.9974
L_1,0,-3.3,22,23,-12.0004
L_1,1,-3.3,24,0,-10.9972
L_1,0,-3.3,12,1,-12.0004
L_1,0,-3.3,11,2,-12.0004
L_1,0,-3.3,4,3,-10.9972
L_1,0,-4.24,1,4,-10.0006
L_1,0,-4.24,1,5,-10.0006
L_1,0,-3.3,1,6,-10.0006
L_1,1,-4.24,5,7,-10.0006
L_1,0,-3.3,10,8,-10.0006
L_1,0,-2.36,19,9,-10.9972
L_1,0,-1.42,49,10,-8.9974
L_1,2,-0.48,47,11,-8.0008
L_1,4,0.46,79,12,-6.9976
L_1,6,1.4,69,13,-4.9978
L_1,8,2.34,64,14,-4.0012
L_1,5,2.34,77,15,-2.998
L_1,13,1.4,79,16,-4.9978
L_1,3,0.46,59,17,-6.001
L_1,4,-0.48,44,18,-6.9976
L_1,1,-0.48,40,19,-6.9976
L_1,0,-1.42,38,20,-8.0008
L_1,1,-1.42,19,21,-8.9974
L_1,5,-1.42,10,22,-8.0008
L_1,0,-2.36,6,23,-6.9976
L_1,2,-2.36,3,0,-8.0008
L_1,1,-2.36,0,1,-8.0008
L_1,0,-2.36,3,2,-8.0008
L_1,0,-2.36,1,3,-8.0008
L_1,1,-3.3,2,4,-8.0008
L_1,0,-3.3,3,5,-8.9974
L_1,0,-2.36,31,6,-8.0008
L_1,2,-2.36,75,7,-8.0008
L_1,4,-2.36,184,8,-8.0008
L_1,2,-1.42,92,9,-8.0008
L_1,0,-1.42,31,10,-8.0008
L_1,2,-0.48,28,11,-6.9976
L_1,5,1.4,47,12,-4.0012
L_1,4,1.4,50,13,-4.0012
L_1,0,1.4,47,14,-2.998
L_1,2,1.4,43,15,-2.998
L_1,4,1.4,70,16,-2.0014
L_1,4,1.4,174,17,-0.9982
L_1,1,1.4,154,18,-2.998
L_1,3,-0.48,92,19,-4.9978
L_1,1,-0.48,73,20,-4.9978
L_1,1,-1.42,37,21,-6.9976
L_1,2,-1.42,22,22,-6.001
L_1,0,-1.42,18,23,-6.001
L_1,2,-1.42,10,0,-4.9978
L_1,0,-1.42,3,1,-6.001
L_1,0,-0.48,3,2,-6.001
L_1,0,-0.48,6,5,-4.0012
L_1,0,-0.48,27,6,-4.0012
L_1,2,-0.48,97,7,-0.9982
L_1,3,0.46,214,8,-2.0014
L_1,3,0.46,127,9,-2.998
L_1,3,1.4,51,10,-2.0014
L_1,4,1.4,31,11,-2.0014
L_1,2,1.4,55,12,-0.9982
L_1,6,1.4,46,13,-0.9982
L_1,3,1.4,60,14,-0.9982
L_1,2,-0.48,45,15,-2.998
L_1,4,-0.48,72,16,-6.001
L_1,6,-0.48,130,17,-6.001
L_1,1,-0.48,94,18,-4.0012
L_1,0,-0.48,51,19,-0.9982
L_1,0,-0.48,32,20,-6.001
L_1,0,-0.48,20,21,-2.998
L_1,1,-0.48,28,22,-4.0012
L_1,1,-0.48,18,23,-2.998
L_1,0,-0.48,7,0,-2.998
L_1,0,-0.48,6,1,-4.0012
L_1,0,-1.42,1,2,-6.001
L_1,0,-1.42,5,5,-6.001
L_1,0,-2.36,16,6,-6.001
L_1,0,-1.42,54,7,-6.001
L_1,3,-0.48,125,8,-4.9978
L_1,3,-0.48,78,9,-6.9976
L_1,0,0.46,39,10,-4.0012
L_1,3,1.4,32,11,-4.0012
L_1,3,1.4,52,12,-6.001
L_1,0,2.34,49,13,-2.998
L_1,0,1.4,44,14,-4.0012
L_1,1,1.4,48,15,-4.9978
L_1,5,2.34,63,16,-2.998
L_1,0,1.4,139,17,-4.0012
L_1,2,1.4,135,18,-6.001
L_1,1,0.46,82,19,-6.001
L_1,2,-0.48,54,20,-6.9976
L_1,0,-0.48,57,21,-6.9976
L_1,1,-0.48,32,22,-8.0008
L_1,1,-1.42,19,23,-8.9974
L_1,1,-1.42,6,0,-8.0008
L_1,0,-1.42,2,1,-8.0008
L_1,0,-1.42,2,2,-8.0008
L_1,0,-1.42,3,3,-8.0008
L_1,0,-1.42,4,4,-8.0008
L_1,0,-1.42,3,5,-8.0008
L_1,0,-2.36,28,6,-6.001
L_1,0,-2.36,72,7,-6.001
L_1,5,-1.42,197,8,-6.9976
L_1,2,-1.42,137,9,-8.0008
L_1,2,-0.48,36,10,-6.9976
L_1,4,1.4,33,11,-4.9978
L_1,3,1.4,49,12,-4.9978
L_1,2,2.34,81,13,-2.998
L_1,3,2.34,39,14,-2.998
L_1,5,3.28,55,15,-2.0014
L_1,2,3.28,76,16,-2.0014
L_1,4,1.4,158,17,-4.0012
L_1,3,1.4,141,18,-4.0012
L_1,1,-0.48,98,19,-6.001
L_1,0,-0.48,64,20,-6.001
L_1,0,-1.42,40,21,-8.0008
L_1,0,-1.42,30,22,-8.0008
L_1,1,-2.36,14,23,-6.9976
L_1,0,-2.36,14,0,-6.9976
L_1,0,-3.3,5,1,-8.0008
L_1,0,-3.3,1,2,-8.0008
L_1,0,-3.3,1,3,-6.9976
L_1,0,-3.3,8,5,-6.9976
L_1,0,-3.3,17,6,-4.0012
L_1,0,-3.3,70,7,-8.0008
L_1,2,-2.36,156,8,-4.9978
L_1,0,-1.42,117,9,-6.001
L_1,4,0.46,40,10,-4.0012
L_1,6,0.46,47,11,-4.9978
L_1,2,1.4,59,12,-2.998
L_1,4,2.34,73,13,-2.998
L_1,5,2.34,59,14,-2.0014
L_1,9,3.28,59,15,-0.0016
L_1,3,2.34,87,16,-0.0016
L_1,4,2.34,155,17,-0.9982
L_1,5,1.4,134,18,1.0016
L_1,3,-0.48,89,19,-2.998
L_1,0,0.46,68,20,-0.0016
L_1,4,-0.48,48,21,-0.9982
L_1,2,-0.48,34,22,-0.9982
L_1,1,0.46,26,23,-0.0016
L_1,3,0.46,25,0,-0.0016
L_1,2,-0.48,18,1,-2.998
L_1,0,-0.48,12,2,-2.998
L_1,1,-0.48,7,3,-0.9982
L_1,0,-0.48,5,4,-0.9982
L_1,0,-0.48,1,5,-0.9982
L_1,1,-1.42,2,6,-4.9978
L_1,1,-1.42,9,7,-2.0014
L_1,1,-1.42,22,8,-6.001
L_1,2,-0.48,31,9,-4.0012
L_1,2,0.46,57,10,-2.998
L_1,18,1.4,54,11,-2.998
L_1,15,3.28,74,12,-0.9982
L_1,21,5.16,80,13,1.0016
L_1,26,6.1,92,14,3.0014
L_1,21,7.04,108,15,5.0012
L_1,33,7.98,95,16,5.9978
L_1,29,7.04,54,17,3.998
L_1,15,6.1,69,18,3.0014
L_1,14,7.04,60,19,3.998
L_1,6,7.04,35,20,3.998
L_1,6,7.04,51,21,3.998
L_1,0,6.1,26,22,5.0012
L_1,5,6.1,39,23,3.0014
L_1,6,4.22,33,0,3.998
L_1,4,4.22,19,1,1.9982
L_1,3,4.22,13,2,3.0014
L_1,9,2.34,6,3,1.9982
L_1,0,4.22,1,4,1.0016
L_1,1,4.22,1,5,1.0016
L_1,0,4.22,1,6,1.0016
L_1,0,3.28,3,7,-2.0014
L_1,0,2.34,18,8,-2.0014
L_1,3,2.34,29,9,-2.0014
L_1,8,2.34,71,10,-2.0014
L_1,23,3.28,70,11,-0.9982
L_1,29,3.28,75,12,-2.0014
L_1,23,4.22,95,13,-0.9982
L_1,22,5.16,69,14,1.9982
L_1,35,4.22,78,15,-0.0016
L_1,22,3.28,77,16,-0.9982
L_1,23,2.34,82,17,-2.0014
L_1,11,1.4,56,18,-2.0014
L_1,14,0.46,47,19,-2.998
L_1,7,0.46,50,20,-2.998
L_1,6,0.46,22,21,-2.998
L_1,2,1.4,19,22,-2.0014
L_1,0,1.4,18,23,-0.9982
L_1,1,1.4,16,0,-2.998
L_1,1,1.4,15,1,-2.998
L_1,0,0.46,8,2,-4.9978
L_1,0,0.46,2,3,-4.0012
L_1,1,0.46,2,4,-2.998
L_1,0,0.46,1,5,-2.998
L_1,0,0.46,5,6,-4.0012
L_1,4,-0.48,9,7,-4.0012
L_1,3,-0.48,30,8,-6.001
L_1,8,-0.48,39,9,-6.001
L_1,7,-0.48,50,10,-6.001
L_1,9,-0.48,55,11,-6.001
L_1,10,0.46,70,12,-2.998
L_1,13,0.46,80,13,-2.998
L_1,12,0.46,74,14,-2.0014
L_1,21,1.4,72,15,-2.0014
L_1,6,1.4,76,16,-2.0014
L_1,4,1.4,67,17,-2.998
L_1,7,0.46,85,18,-4.9978
L_1,2,0.46,58,19,-4.0012
L_1,4,-0.48,29,20,-6.001
L_1,3,-0.48,24,21,-6.001
L_1,0,-1.42,13,22,-8.0008
L_1,1,-0.48,3,23,-6.9976
L_1,0,1.4,3,12,-4.0012
L_1,0,1.4,22,13,-2.998
L_1,2,2.34,26,14,-0.9982
L_1,3,2.34,32,15,-0.9982
L_1,0,2.34,61,16,-0.9982
L_1,1,2.34,124,17,-0.9982
L_1,1,2.34,132,18,-0.9982
L_1,1,2.34,98,19,-0.9982
L_1,0,2.34,83,20,1.9982
L_1,0,2.34,41,21,-0.0016
L_1,0,2.34,33,22,1.0016
L_1,1,2.34,19,23,1.9982
L_1,0,2.34,3,0,1.9982
L_1,1,2.34,6,1,-0.9982
L_1,0,2.34,3,2,-0.9982
L_1,1,2.34,1,4,-0.9982
L_1,0,2.34,7,5,1.0016
L_1,0,2.34,32,6,1.0016
L_1,1,3.28,89,7,1.0016
L_1,1,3.28,196,8,1.0016
L_1,2,3.28,107,9,1.0016
L_1,1,4.22,46,10,1.9982
L_1,5,5.16,47,11,3.998
L_1,5,6.1,65,12,5.0012
L_1,11,10.8,67,13,11.0006
L_1,7,10.8,68,14,11.0006
L_1,4,10.8,78,15,11.0006
L_1,10,9.86,94,16,9.9974
L_1,7,8.92,190,17,5.9978
L_1,5,7.98,156,18,5.0012
L_1,4,7.04,108,19,3.0014
L_1,2,7.04,74,20,3.998
L_1,4,7.04,55,21,3.0014
L_1,6,6.1,53,22,3.998
L_1,1,6.1,27,23,1.9982
L_1,5,4.22,8,0,-0.9982
L_1,2,4.22,3,1,1.9982
L_1,0,4.22,2,2,1.9982
L_1,0,4.22,1,3,1.0016
L_1,0,4.22,1,4,1.0016
L_1,0,3.28,6,5,-0.9982
L_1,0,2.34,35,6,-2.0014
L_1,1,2.34,100,7,-2.0014
L_1,2,2.34,247,8,-2.0014
L_1,3,3.28,140,9,-0.9982
L_1,1,4.22,56,10,-0.9982
L_1,5,5.16,63,11,1.9982
L_1,7,6.1,77,12,5.9978
L_1,12,5.16,86,13,3.0014
L_1,6,6.1,75,14,3.998
L_1,8,7.04,62,15,5.0012
L_1,8,6.1,83,16,3.998
L_1,8,6.1,207,17,5.0012
L_1,1,4.22,184,18,1.0016
L_1,6,4.22,146,19,-0.9982
L_1,2,4.22,124,20,-0.0016
L_1,3,3.28,54,21,-0.9982
L_1,0,3.28,56,22,-2.0014
L_1,3,3.28,28,23,-2.0014
L_1,1,3.28,20,0,-0.9982
L_1,0,3.28,6,1,-0.9982
L_1,0,3.28,2,2,-0.0016
L_1,0,2.34,1,3,-2.0014
L_1,0,2.34,1,4,1.0016
L_1,1,3.28,4,5,-2.998
L_1,0,2.34,27,6,-2.0014
L_1,2,1.4,66,7,-4.0012
L_1,7,1.4,210,8,-4.0012
L_1,7,1.4,159,9,-4.0012
L_1,6,1.4,57,10,-4.9978
L_1,6,2.34,53,11,-4.0012
L_1,11,2.34,67,12,-4.0012
L_1,8,1.4,65,13,-6.001
L_1,6,1.4,56,14,-6.001
L_1,4,-0.48,61,15,-8.0008
L_1,0,-0.48,97,16,-6.9976
L_1,10,-1.42,151,17,-8.0008
L_1,1,-2.36,119,18,-8.0008
L_1,3,-2.36,93,19,-8.9974
L_1,1,-3.3,52,20,-10.9972
L_1,0,-4.24,41,21,-10.9972
L_1,1,-5.18,33,22,-14.0002
L_1,0,-5.18,27,23,-12.997
L_1,0,-6.12,13,0,-14.0002
L_1,3,-6.12,9,1,-16.0
L_1,0,-6.12,11,2,-14.0002
L_1,1,-6.12,6,3,-14.0002
L_1,0,-7.06,3,4,-14.9968
L_1,0,-7.06,2,6,-14.0002
L_1,0,-7.06,8,7,-14.9968
L_1,1,-7.06,26,8,-16.0
L_1,3,-6.12,37,9,-14.0002
L_1,3,-6.12,50,10,-12.0004
L_1,4,-5.18,59,11,-10.9972
L_1,10,-5.18,60,12,-8.9974
L_1,12,-4.24,72,13,-4.9978
L_1,11,-3.3,64,14,-6.9976
L_1,10,-2.36,93,15,-6.001
L_1,11,-2.36,72,16,-6.9976
L_1,8,-2.36,59,17,-2.998
L_1,0,-4.24,54,18,-10.0006
L_1,6,-4.24,53,19,-8.9974
L_1,1,-5.18,44,20,-10.9972
L_1,0,-5.18,39,21,-8.9974
L_1,7,-5.18,23,22,-6.001
L_1,2,-6.12,31,23,-10.9972
L_1,2,-6.12,20,0,-10.9972
L_1,1,-6.12,12,1,-10.9972
L_1,3,-7.06,15,2,-12.0004
L_1,1,-7.06,4,3,-12.0004
L_1,0,-6.12,3,5,-10.9972
L_1,0,-6.12,1,6,-10.9972
L_1,1,-4.24,1,7,-8.9974
L_1,2,-5.18,17,8,-10.9972
L_1,3,-3.3,25,9,-10.9972
L_1,7,-1.42,51,10,-8.9974
L_1,22,-1.42,77,11,-6.9976
L_1,24,-0.48,92,12,-8.0008
L_1,12,-1.42,75,13,-8.9974
L_1,17,-0.48,93,14,-6.9976
L_1,13,-0.48,64,15,-6.9976
L_1,9,-0.48,56,16,-6.9976
L_1,5,-1.42,50,17,-8.9974
L_1,5,-2.36,44,18,-8.0008
L_1,5,-2.36,45,19,-8.0008
L_1,4,-3.3,31,20,-8.9974
L_1,5,-3.3,20,21,-8.9974
L_1,5,-4.24,23,22,-10.0006
L_1,4,-5.18,17,23,-12.0004
L_1,0,-5.18,7,0,-12.0004
L_1,0,-6.12,1,1,-12.997
L_1,0,-6.12,1,3,-14.0002
L_1,0,-7.06,1,4,-12.0004
L_1,0,-7.06,5,5,-12.0004
L_1,0,-7.06,15,6,-10.9972
L_1,5,-7.06,79,7,-8.0008
L_1,6,-6.12,171,8,-6.9976
L_1,4,-5.18,98,9,-6.001
L_1,6,-3.3,34,10,-6.9976
L_1,3,-3.3,43,11,-8.0008
L_1,11,-2.36,52,12,-6.9976
L_1,6,-1.42,54,13,-6.9976
L_1,2,-1.42,43,14,-6.9976
L_1,7,-0.48,50,15,-4.9978
L_1,4,-0.48,66,16,-6.001
L_1,6,-1.42,178,17,-8.0008
L_1,8,-1.42,145,18,-6.9976
L_1,5,-1.42,101,19,-6.001
L_1,1,-1.42,80,20,-6.9976
L_1,6,-1.42,53,21,-6.001
L_1,3,-1.42,32,22,-6.9976
L_1,3,-0.48,21,23,-6.001
L_1,3,-0.48,6,0,-6.9976
L_1,0,-0.48,5,1,-4.9978
L_1,0,-0.48,2,2,-6.001
L_1,0,-1.42,1,4,-4.9978
L_1,0,-1.42,9,5,-6.9976
L_1,1,-0.48,35,6,-4.0012
L_1,5,-0.48,103,7,-6.001
L_1,5,-0.48,233,8,-4.0012
L_1,10,1.4,134,9,-0.9982
L_1,6,2.34,49,10,-0.0016
L_1,6,3.28,55,11,-0.0016
L_1,21,4.22,85,12,3.0014
L_1,21,4.22,72,13,1.9982
L_1,11,6.1,57,14,5.9978
L_1,21,7.04,63,15,7.001
L_1,14,7.04,102,16,7.001
L_1,14,6.1,208,17,5.9978
L_1,7,6.1,218,18,5.0012
L_1,13,4.22,133,19,1.0016
L_1,16,3.28,103,20,-0.9982
L_1,5,3.28,40,21,-0.9982
L_1,4,2.34,49,22,-0.9982
L_1,3,2.34,37,23,-0.9982
L_1,3,2.34,14,0,-0.9982
L_1,0,3.28,5,1,-0.0016
L_1,3,2.34,7,2,-0.9982
L_1,0,1.4,1,5,-4.0012
L_1,0,1.4,8,6,-4.0012
L_1,1,2.34,29,7,-2.0014
L_1,3,2.34,69,8,-2.0014
L_1,3,2.34,55,9,-2.0014
L_1,2,2.34,26,10,-2.0014
L_1,6,2.34,35,11,-2.998
L_1,7,2.34,41,12,-2.998
L_1,4,2.34,43,13,-2.998
L_1,0,2.34,36,14,-2.998
L_1,1,2.34,42,15,-4.0012
L_1,1,2.34,35,16,-2.998
L_1,0,1.4,26,17,-4.0012
L_1,1,2.34,23,16,-0.9982
L_1,2,2.34,82,17,-0.0016
L_1,3,1.4,101,18,-0.9982
L_1,3,1.4,76,19,-0.9982
L_1,4,0.46,55,20,-2.0014
L_1,2,0.46,36,21,-2.0014
L_1,0,0.46,27,22,-2.0014
L_1,0,0.46,16,23,-2.998
L_1,0,1.4,9,0,-2.0014
L_1,1,1.4,2,1,-2.0014
L_1,0,1.4,2,2,-2.0014
L_1,1,1.4,0,3,-0.9982
L_1,0,0.46,4,5,-2.0014
L_1,0,0.46,16,6,-2.998
L_1,2,-0.48,58,7,-2.998
L_1,2,-0.48,155,8,-2.998
L_1,6,0.46,95,9,-2.0014
L_1,0,0.46,49,10,-2.0014
L_1,0,0.46,30,11,-2.0014
L_1,1,0.46,28,12,-2.0014
L_1,0,0.46,31,13,-2.0014
L_1,2,2.34,36,14,1.9982
L_1,1,1.4,40,15,1.0016
L_1,10,2.34,70,16,1.9982
L_1,2,3.28,147,17,-0.0016
L_1,2,3.28,107,18,-0.9982
L_1,5,3.28,84,19,-0.0016
L_1,1,3.28,61,20,-0.9982
L_1,1,2.34,57,21,-0.9982
L_1,0,3.28,26,22,-2.0014
L_1,1,3.28,22,23,-0.9982
L_1,2,2.34,26,0,-2.998
L_1,0,2.34,20,1,-0.9982
L_1,0,2.34,15,2,-0.9982
L_1,3,1.4,5,3,-2.0014
L_1,1,-0.48,2,4,-4.0012
L_1,0,-0.48,2,6,-4.0012
L_1,1,-0.48,4,7,-4.0012
L_1,3,0.46,31,8,-2.998
L_1,0,0.46,34,9,-2.0014
L_1,4,0.46,51,10,-2.0014
L_1,4,0.46,60,11,-2.998
L_1,12,1.4,66,12,-2.998
L_1,9,2.34,56,13,-0.9982
L_1,10,2.34,89,14,-0.9982
L_1,22,2.34,98,15,-2.0014
L_1,19,3.28,88,16,-0.0016
L_1,9,3.28,82,17,3.0014
L_1,9,2.34,59,18,-0.9982
L_1,6,2.34,52,19,-2.0014
L_1,1,0.46,42,20,-2.0014
L_1,1,0.46,35,21,-2.0014
L_1,4,-0.48,28,22,-2.998
L_1,3,-0.48,30,23,-2.998
L_1,0,-0.48,33,0,-4.0012
L_1,7,-1.42,22,1,-2.0014
L_1,1,-0.48,10,2,-0.9982
L_1,1,-1.42,7,3,-2.0014
L_1,0,-1.42,1,4,-2.0014
L_1,0,-1.42,3,5,-2.0014
L_1,0,-1.42,3,7,-2.0014
L_1,1,-1.42,11,8,-2.0014
L_1,4,-0.48,34,9,-0.9982
L_1,7,0.46,57,10,-0.0016
L_1,9,2.34,50,11,1.9982
L_1,10,6.1,87,12,5.0012
L_1,13,5.16,71,13,3.0014
L_1,18,5.16,104,14,3.998
L_1,14,6.1,95,15,5.9978
L_1,19,6.1,104,16,5.9978
L_1,6,6.1,71,17,3.0014
L_1,8,4.22,57,18,1.0016
L_1,9,4.22,46,19,1.0016
L_1,3,4.22,30,20,1.9982
L_1,3,3.28,25,21,-0.0016
L_1,2,3.28,19,22,-0.9982
L_1,5,3.28,16,23,-2.0014
L_1,1,3.28,6,0,-0.9982
L_1,2,2.34,5,1,-2.0014
L_1,0,2.34,1,2,-0.9982
L_1,0,2.34,2,3,-0.9982
L_1,0,1.4,2,4,-2.998
L_1,0,0.46,8,5,-4.9978
L_1,0,-0.48,37,6,-6.9976
L_1,1,-0.48,71,7,-6.9976
L_1,3,-0.48,182,8,-6.9976
L_1,0,-0.48,112,9,-6.9976
L_1,1,-0.48,68,10,-6.001
L_1,2,-0.48,46,11,-6.001
L_1,6,0.46,62,12,-2.0014
L_1,2,-0.48,52,13,-0.9982
L_1,1,0.46,85,14,-2.998
L_1,3,-0.48,41,15,-4.0012
L_1,3,-0.48,83,16,-4.0012
L_1,6,-0.48,155,17,-6.001
L_1,3,-0.48,153,18,-6.001
L_1,3,6.1,108,19,5.0012
L_1,0,-0.48,78,20,-4.9978
L_1,3,-0.48,53,21,-2.998
L_1,0,-0.48,34,22,-4.0012
L_1,2,-0.48,15,23,-2.998
L_1,2,-0.48,6,0,-4.0012
L_1,0,-0.48,3,1,-4.0012
L_1,0,-0.48,2,2,-0.9982
L_1,0,-0.48,2,3,-0.9982
L_1,0,-1.42,3,5,-2.0014
L_1,0,-1.42,22,6,-2.0014
L_1,0,-0.48,52,7,-0.9982
L_1,3,-0.48,132,8,-0.9982
L_1,2,-0.48,114,9,-0.9982
L_1,0,-0.48,47,10,-0.9982
